1.258390023,1.0
3.291836735,2.0
5.338775510,3.0
7.297959184,4.0
9.389092971,5.0
11.245532880,6.0
13.392562358,7.0
15.787755102,8.0
17.763265306,9.0
19.849569161,10.0
21.953492063,11.0
24.026077098,12.0
26.032222222,13.0
28.052426304,14.0
30.142721088,15.0
32.253287982,16.0
34.313809524,17.0
36.418321995,18.0
38.416326531,19.0
40.561836735,20.0
42.582766440,21.0
44.810022676,22.0
47.020408163,23.0
48.999115646,24.0
50.995079365,25.0
53.172970522,26.0
55.245238095,27.0
57.321043084,28.0
59.373401361,29.0
61.474195011,30.0
63.632063492,31.0
65.763265306,32.0
68.087165533,33.0
70.099160998,34.0
72.175260771,35.0
74.280204082,36.0
76.424875283,37.0
78.448979592,38.0
80.625918367,39.0
83.021111111,40.0
84.996621315,41.0
87.082925170,42.0
89.186848072,43.0
91.259433107,44.0
93.265578231,45.0
95.285782313,46.0
97.376077097,47.0
99.486643991,48.0
101.547165533,49.0
103.651678004,50.0
105.649682540,51.0
107.795192744,52.0
109.816122449,53.0
112.043378685,54.0
114.253764172,55.0
116.232471655,56.0
118.228435374,57.0
120.406326531,58.0
122.478594104,59.0
124.554399093,60.0
126.606757370,61.0
128.707551020,62.0
130.865419501,63.0
132.996621315,64.0
135.320521542,65.0
137.332517007,66.0
139.408616780,67.0
141.513560091,68.0
143.658231292,69.0
145.682335601,70.0
147.859274376,71.0
150.155804989,72.0
152.294580499,73.0
154.471746032,74.0
156.499319728,75.0
158.710907029,76.0
160.750680272,77.0
162.861814059,78.0
164.896938775,79.0
167.063083900,80.0
169.099841270,81.0
171.297165533,82.0
173.364852608,83.0
175.442653061,84.0
177.543854875,85.0
179.804784580,86.0
181.968367347,87.0
183.990816326,88.0
185.901337868,89.0
188.066009070,90.0
190.155804989,91.0
192.212925170,92.0
194.397528345,93.0
196.590566893,94.0
198.763197279,95.0
200.952403628,96.0
203.558163265,97.0
205.755510204,98.0
207.885056689,99.0
210.153015873,100.0
212.408866213,101.0
214.498662131,102.0
217.159886621,103.0
220.114988662,104.0
222.743560091,105.0
225.323492063,106.0
227.895895692,107.0
230.457346939,108.0
232.807913832,109.0
235.361088435,110.0
237.763968254,111.0
240.257233560,112.0
242.678253968,113.0
245.253446712,114.0
247.690498866,115.0
249.990793651,116.0
252.294580499,117.0
254.792539682,118.0
257.600702948,119.0
259.858911565,120.0
262.018526077,121.0
264.422811791,122.0
266.727233560,123.0
268.932879819,124.0
271.494580499,125.0
273.824920635,126.0
276.080340136,127.0
278.455328798,128.0
281.078253968,129.0
284.088344671,130.0
288.229274376,131.0
290.552675737,132.0
292.784376417,133.0
295.137551020,134.0
297.670226757,135.0
300.605079365,136.0
304.033356009,137.0
305.682335601,137.5
