start;end;shorthand;extended;majmin;majmin_inv
0.28;2.62;"B:min";"B:(b3,5)";"B:min";"B:min"
2.62;5.18;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
5.18;7.92;"E:maj/B";"E:(3,5)/B";"E:maj";"E:maj/B"
7.92;10.2;"E:min/B";"E:(b3,5)/B";"E:min";"E:min/B"
10.2;12.48;"B:maj";"B:(3,5)";"B:maj";"B:maj"
12.48;13.42;"B:min";"B:(b3,5)";"B:min";"B:min"
13.42;17.54;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
17.54;19.96;"B:min";"B:(b3,5)";"B:min";"B:min"
19.96;21.16;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
21.16;22.24;"E:min/B";"E:(b3,5)/B";"E:min";"E:min/B"
22.24;26.2;"F#:7/B";"F#:(3,5,b7)/B";"F#:maj";"F#:maj/B"
26.2;28.36;"B:min";"B:(b3,5)";"B:min";"B:min"
28.36;31.18;"E:min/B";"E:(b3,5)/B";"E:min";"E:min/B"
31.18;33.6;"B:min";"B:(b3,5)";"B:min";"B:min"
33.6;35.44;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
35.44;36.4;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
36.4;38.02;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
38.02;38.74;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
38.74;41.5;"D:maj";"D:(3,5)";"D:maj";"D:maj"
41.5;43.82;"B:min";"B:(b3,5)";"B:min";"B:min"
43.82;46.74;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
46.74;49.04;"E:maj/G#";"E:(3,5)/G#";"E:maj";"E:maj/G#"
49.04;52.04;"A:(3,5,b7,b9)/G";"A:(3,5,b7,b9)/G";"A:maj";"A:maj/G"
52.04;55.04;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
55.04;62.48;"F#:(3,5,b7,b9)/E";"F#:(3,5,b7,b9)/E";"F#:maj";"F#:maj/E"
62.48;63.32;"G:(3,5,#6)";"G:(3,5,#6)";"G:maj";"G:maj"
63.32;65.6;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
65.6;66.42;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
66.42;80.2;"G:(3,5,#6)";"G:(3,5,#6)";"G:maj";"G:maj"
80.2;82.3;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
82.3;82.76;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
82.76;86.86;"B:min";"B:(b3,5)";"B:min";"B:min"
86.86;87.78;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
87.78;90.7;"E:maj";"E:(3,5)";"E:maj";"E:maj"
90.7;93.88;"E:min";"E:(b3,5)";"E:min";"E:min"
93.88;95.58;"B:maj";"B:(3,5)";"B:maj";"B:maj"
95.58;96.22;"B:min/B";"B:(b3,5)/B";"B:min";"B:min/B"
96.22;99.96;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
99.96;102.34;"B:min";"B:(b3,5)";"B:min";"B:min"
102.34;103.04;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
103.04;105.22;"E:min";"E:(b3,5)";"E:min";"E:min"
105.22;108.34;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
108.34;110.76;"B:min";"B:(b3,5)";"B:min";"B:min"
110.76;113.4;"E:min/B";"E:(b3,5)/B";"E:min";"E:min/B"
113.4;115.88;"B:min";"B:(b3,5)";"B:min";"B:min"
115.88;117.72;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
117.72;118.66;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
118.66;120.32;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
120.32;121.46;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
121.46;123.52;"D:maj";"D:(3,5)";"D:maj";"D:maj"
123.52;126.4;"B:min";"B:(b3,5)";"B:min";"B:min"
126.4;129.38;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
129.38;132.04;"E:maj/G#";"E:(3,5)/G#";"E:maj";"E:maj/G#"
132.04;134.88;"A:(3,5,b7,b9)/G";"A:(3,5,b7,b9)/G";"A:maj";"A:maj/G"
134.88;137.62;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
137.62;145.26;"F#:(3,5,b7,b9)/E";"F#:(3,5,b7,b9)/E";"F#:maj";"F#:maj/E"
