start;end;shorthand;extended;majmin;majmin_inv
0.32;1.54;"D:min";"D:(b3,5)";"D:min";"D:min"
1.54;2.78;"D:min7/C";"D:(b3,5,b7)/C";"D:min";"D:min/C"
2.78;3.78;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
3.78;5.06;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
5.06;6.16;"E:hdim7/G";"E:(b3,b5,b7)/G";"E:min";"E:min/G"
6.16;7.32;"A:maj";"A:(3,5)";"A:maj";"A:maj"
7.32;8.58;"D:min";"D:(b3,5)";"D:min";"D:min"
8.58;9.8;"A:maj";"A:(3,5)";"A:maj";"A:maj"
9.8;11.9;"D:min";"D:(b3,5)";"D:min";"D:min"
11.9;14.32;"A:maj";"A:(3,5)";"A:maj";"A:maj"
14.32;16.48;"D:min";"D:(b3,5)";"D:min";"D:min"
16.48;18.96;"A:maj";"A:(3,5)";"A:maj";"A:maj"
18.96;23.7;"C#:min/G#";"C#:(b3,5)/G#";"C#:min";"C#:min/G#"
23.7;24.88;"F#:min7";"F#:(b3,5,b7)";"F#:min";"F#:min"
24.88;26.12;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
26.12;28.52;"C#:min";"C#:(b3,5)";"C#:min";"C#:min"
28.52;29.12;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
29.12;29.72;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
29.72;31.26;"A:maj";"A:(3,5)";"A:maj";"A:maj"
31.26;33.4;"D:min";"D:(b3,5)";"D:min";"D:min"
33.4;35.86;"A:maj";"A:(3,5)";"A:maj";"A:maj"
35.86;38.24;"D:min";"D:(b3,5)";"D:min";"D:min"
38.24;40.64;"A:maj";"A:(3,5)";"A:maj";"A:maj"
40.64;45.84;"C#:min/G#";"C#:(b3,5)/G#";"C#:min";"C#:min/G#"
45.84;47.14;"F#:min7";"F#:(b3,5,b7)";"F#:min";"F#:min"
47.14;48.48;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
48.48;50.82;"C#:min";"C#:(b3,5)";"C#:min";"C#:min"
50.82;52.2;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
52.2;47.98;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
53.12;53.62;"A:maj";"A:(3,5)";"A:maj";"A:maj"
53.62;54.86;"D:maj";"D:(3,5)";"D:maj";"D:maj"
54.86;56;"E:9/G#";"E:(3,5,b7,9)/G#";"E:maj";"E:maj/G#"
56;57.08;"A:maj";"A:(3,5)";"A:maj";"A:maj"
57.08;58.38;"B:7/F#";"B:(3,5,b7)/F#";"B:maj";"B:maj/F#"
58.38;60.08;"E:min";"E:(b3,5)";"E:min";"E:min"
60.08;60.76;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
61.94;62.52;"D:maj";"D:(3,5)";"D:maj";"D:maj"
62.52;63.16;"G:maj";"G:(3,5)";"G:maj";"G:maj"
63.16;64.36;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
64.36;64.94;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
64.94;65.64;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
65.64;66.34;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
66.34;66.96;"D:7/F#";"D:(3,5,b7)/F#";"D:maj";"D:maj/F#"
66.96;68.38;"G:maj";"G:(3,5)";"G:maj";"G:maj"
68.38;69.9;"E:min7/G";"E:(b3,5,b7)/G";"E:min";"E:min/G"
69.9;71.06;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
71.06;74.3;"A:maj";"A:(3,5)";"A:maj";"A:maj"
74.3;76.42;"D:maj";"D:(3,5)";"D:maj";"D:maj"
76.42;76.96;"E:9/G#";"E:(3,5,b7,9)/G#";"E:maj";"E:maj/G#"
76.96;78.88;"A:maj";"A:(3,5)";"A:maj";"A:maj"
78.88;79.52;"B:7/F#";"B:(3,5,b7)/F#";"B:maj";"B:maj/F#"
79.52;80.96;"E:min";"E:(b3,5)";"E:min";"E:min"
80.96;81.98;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
81.98;83.88;"D:maj";"D:(3,5)";"D:maj";"D:maj"
83.88;84.58;"G:maj";"G:(3,5)";"G:maj";"G:maj"
84.58;85.78;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
85.78;90.88;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
90.88;86.94;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
86.94;87.76;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
87.76;88.34;"D:7/F#";"D:(3,5,b7)/F#";"D:maj";"D:maj/F#"
88.34;89.7;"G:maj";"G:(3,5)";"G:maj";"G:maj"
89.7;90.88;"E:min7/G";"E:(b3,5,b7)/G";"E:min";"E:min/G"
90.88;92.24;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
92.24;93.74;"A:maj";"A:(3,5)";"A:maj";"A:maj"
93.74;94.86;"A:7/G";"A:(3,5,b7)/G";"A:maj";"A:maj/G"
94.86;96.2;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
96.2;98.26;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
94.86;99.04;"A:maj";"A:(3,5)";"A:maj";"A:maj"
99.04;102;"D:min";"D:(b3,5)";"D:min";"D:min"
102;104.26;"A:maj";"A:(3,5)";"A:maj";"A:maj"
104.26;106.76;"D:min";"D:(b3,5)";"D:min";"D:min"
106.76;109.12;"A:maj";"A:(3,5)";"A:maj";"A:maj"
109.12;112.24;"C#:min/G#";"C#:(b3,5)/G#";"C#:min";"C#:min/G#"
112.24;114;"F#:min7";"F#:(b3,5,b7)";"F#:min";"F#:min"
114;115.54;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
