start;end;shorthand;extended;majmin;majmin_inv
1.16;6.9;"B:min";"B:(b3,5)";"B:min";"B:min"
6.9;9.82;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
9.82;12.76;"B:min";"B:(b3,5)";"B:min";"B:min"
12.76;15.86;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
15.86;26.24;"B:min";"B:(b3,5)";"B:min";"B:min"
26.24;27.62;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
27.62;37;"B:min";"B:(b3,5)";"B:min";"B:min"
37;39.04;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
39.04;41.88;"B:min";"B:(b3,5)";"B:min";"B:min"
41.88;44.68;"F#:7/A#";"F#:(3,5,b7)/A#";"F#:maj";"F#:maj/A#"
44.68;46.1;"B:min";"B:(b3,5)";"B:min";"B:min"
46.1;46.86;"C#:(3,5,b7,b9)";"C#:(3,5,b7,b9)";"C#:maj";"C#:maj"
46.86;47.64;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
47.64;50.68;"C#:(3,b5,b7)";"C#:(3,b5,b7)";"C#:maj";"C#:maj"
50.68;53.9;"F#:(3,5,b9)";"F#:(3,5,b9)";"F#:maj";"F#:maj"
53.9;56.68;"F#:7/A#";"F#:(3,5,b7)/A#";"F#:maj";"F#:maj/A#"
56.68;57.92;"B:min";"B:(b3,5)";"B:min";"B:min"
57.92;58.94;"C#:(3,5,b7,b9)";"C#:(3,5,b7,b9)";"C#:maj";"C#:maj"
58.94;59.88;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
59.88;63.46;"C#:(b5,b7)";"C#:(b5,b7)";"C#:maj";"C#:maj"
63.46;69.32;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
69.32;75.5;"G#:dim7";"G#:(b3,b5,bb7)";"G#:min";"G#:min"
72.4;75.5;"A:maj";"A:(3,5)";"A:maj";"A:maj"
75.5;78.56;"G#:dim7";"G#:(b3,b5,bb7)";"G#:min";"G#:min"
78.56;81.64;"A:maj";"A:(3,5)";"A:maj";"A:maj"
81.64;82.38;"A:maj";"A:(3,5)";"A:maj";"A:maj"
82.38;83.14;"E:7/G#";"E:(3,5,b7)/G#";"E:maj";"E:maj/G#"
83.14;83.7;"A:7/G";"A:(3,5,b7)/G";"A:maj";"A:maj/G"
83.7;84.2;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
84.2;85.36;"G:maj";"G:(3,5)";"G:maj";"G:maj"
85.36;86;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
86;86.66;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
86.66;89.74;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
89.74;92.3;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
92.3;93.4;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
93.4;96.12;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
96.12;97.18;"C#:(b5,b7)/G";"C#:(b5,b7)/G";"C#:maj";"C#:maj/G"
97.18;99.98;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
99.98;101.06;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
101.06;103.38;"B:min";"B:(b3,5)";"B:min";"B:min"
103.38;104.06;"C#:7/F";"C#:(3,5,b7)/F";"C#:maj";"C#:maj/F"
104.06;105.3;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
105.3;106.52;"B:min";"B:(b3,5)";"B:min";"B:min"
106.52;109.92;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
109.92;112.72;"G:maj";"G:(3,5)";"G:maj";"G:maj"
112.72;115.8;"G#:dim7";"G#:(b3,b5,bb7)";"G#:min";"G#:min"
115.8;120.04;"A:maj";"A:(3,5)";"A:maj";"A:maj"
120.04;120.64;"E:7/G#";"E:(3,5,b7)/G#";"E:maj";"E:maj/G#"
120.64;121.22;"A:7/G";"A:(3,5,b7)/G";"A:maj";"A:maj/G"
121.22;121.76;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
121.76;122.92;"G:maj";"G:(3,5)";"G:maj";"G:maj"
122.92;123.54;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
123.54;124.36;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
124.36;127.06;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
127.06;129.94;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
129.94;131.42;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
131.42;134.48;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
134.48;135.76;"C#:(b5,b7)/G";"C#:(b5,b7)/G";"C#:maj";"C#:maj/G"
135.76;139.48;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
139.48;142.22;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
142.22;152.32;"B:min";"B:(b3,5)";"B:min";"B:min"
