start;end;shorthand;extended;majmin;majmin_inv
0.52;4.84;"G:min(*3)";"G:(b3,5,*3)";"G:min";"G:min"
4.84;7.72;"G:min";"G:(b3,5)";"G:min";"G:min"
7.72;9.6;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
9.6;10.5;"G:min";"G:(b3,5)";"G:min";"G:min"
10.5;11.88;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
11.88;14.56;"G:min";"G:(b3,5)";"G:min";"G:min"
14.56;15.66;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
15.66;17.06;"G:min";"G:(b3,5)";"G:min";"G:min"
17.06;17.88;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
17.88;28.5;"G:min";"G:(b3,5)";"G:min";"G:min"
28.5;30.72;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
30.72;39.4;"G:min";"G:(b3,5)";"G:min";"G:min"
39.4;41.62;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
41.62;43.7;"G:min";"G:(b3,5)";"G:min";"G:min"
43.7;44.9;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
44.9;45.5;"G:min";"G:(b3,5)";"G:min";"G:min"
45.5;47.84;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
47.84;50.5;"G:min";"G:(b3,5)";"G:min";"G:min"
50.5;51.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
51.48;55.7;"G:min";"G:(b3,5)";"G:min";"G:min"
55.7;56.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
56.48;57.06;"G:min";"G:(b3,5)";"G:min";"G:min"
57.06;59.44;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
59.44;61.46;"G:min";"G:(b3,5)";"G:min";"G:min"
61.46;62.96;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
62.96;77.42;"G:min";"G:(b3,5)";"G:min";"G:min"
77.42;78.06;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
78.06;79.3;"G:min";"G:(b3,5)";"G:min";"G:min"
79.3;81.1;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
81.1;93.18;"G:min";"G:(b3,5)";"G:min";"G:min"
93.18;95.34;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
95.34;105.98;"G:min";"G:(b3,5)";"G:min";"G:min"
105.98;108.52;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
108.52;111.62;"G:min";"G:(b3,5)";"G:min";"G:min"
111.62;112.22;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
112.22;112.82;"G:min";"G:(b3,5)";"G:min";"G:min"
112.82;115.64;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
115.64;118.68;"G:min";"G:(b3,5)";"G:min";"G:min"
118.68;120.3;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
120.3;124.54;"G:min";"G:(b3,5)";"G:min";"G:min"
124.54;125.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
125.48;126.08;"G:min";"G:(b3,5)";"G:min";"G:min"
126.08;128.64;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
128.64;130.74;"G:min";"G:(b3,5)";"G:min";"G:min"
130.74;132.36;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
132.36;147.14;"G:min";"G:(b3,5)";"G:min";"G:min"
147.14;147.98;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
147.98;149.22;"G:min";"G:(b3,5)";"G:min";"G:min"
149.22;151.08;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
151.08;153.28;"G:min";"G:(b3,5)";"G:min";"G:min"
153.28;154.24;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
154.24;156.82;"G:min";"G:(b3,5)";"G:min";"G:min"
156.82;159.06;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
159.06;164.96;"G:min";"G:(b3,5)";"G:min";"G:min"
164.96;167.98;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
167.98;169.2;"G:min";"G:(b3,5)";"G:min";"G:min"
169.2;172.4;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
172.4;180.24;"G:min";"G:(b3,5)";"G:min";"G:min"
180.24;181.54;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
181.54;185.08;"G:min";"G:(b3,5)";"G:min";"G:min"
