start;end;shorthand;extended;majmin;majmin_inv
0.32;2.88;"G:maj";"G:(3,5)";"G:maj";"G:maj"
2.88;4.8;"E:min";"E:(b3,5)";"E:min";"E:min"
4.8;5.1;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
5.1;6.06;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
6.06;7;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
7;9.04;"G:maj";"G:(3,5)";"G:maj";"G:maj"
9.04;11.86;"G:maj";"G:(3,5)";"G:maj";"G:maj"
11.86;13.86;"E:min";"E:(b3,5)";"E:min";"E:min"
13.86;14.76;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
14.76;16.02;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
16.02;17.84;"G:maj";"G:(3,5)";"G:maj";"G:maj"
17.84;20.26;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
20.26;22.16;"G:maj";"G:(3,5)";"G:maj";"G:maj"
22.16;23.4;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
23.4;24.6;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
24.6;26.66;"G:maj";"G:(3,5)";"G:maj";"G:maj"
26.66;27.84;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
27.84;28.9;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
28.9;30.82;"G:maj";"G:(3,5)";"G:maj";"G:maj"
30.82;31.96;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
31.96;32.58;"E:hdim7";"E:(b3,b5,b7)";"E:min";"E:min"
32.58;33.18;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
33.18;33.48;"E:(3,b5,b7)";"E:(3,b5,b7)";"E:maj";"E:maj"
33.48;34.18;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
34.18;34.8;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
34.8;35.7;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
35.7;36.3;"C:min";"C:(b3,5)";"C:min";"C:min"
36.3;36.72;"D:(3,b5,b7)";"D:(3,b5,b7)";"D:maj";"D:maj"
