start;end;shorthand;extended;majmin;majmin_inv
0.36;1.16;"B:min";"B:(b3,5)";"B:min";"B:min"
1.16;1.78;"F#:7/C#";"F#:(3,5,b7)/C#";"F#:maj";"F#:maj/C#"
1.78;2.44;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
2.44;3.06;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
3.06;3.68;"E:min";"E:(b3,5)";"E:min";"E:min"
3.68;4.3;"C#:hdim7";"C#:(b3,b5,b7)";"C#:min";"C#:min"
4.3;5.52;"B:min";"B:(b3,5)";"B:min";"B:min"
5.52;6.26;"C:maj";"C:(3,5)";"C:maj";"C:maj"
6.26;6.76;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
6.76;8.02;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
8.02;8.66;"G:maj";"G:(3,5)";"G:maj";"G:maj"
8.66;9.28;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
9.28;9.96;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
9.96;10.78;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
10.78;13.36;"B:min";"B:(b3,5)";"B:min";"B:min"
13.36;14.22;"B:min";"B:(b3,5)";"B:min";"B:min"
14.22;15.12;"F#:maj/A#";"F#:(3,5)/A#";"F#:maj";"F#:maj/A#"
15.12;16.24;"B:min";"B:(b3,5)";"B:min";"B:min"
16.24;17.14;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
17.14;17.68;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
17.68;19;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
19;20.34;"C#:hdim7/E";"C#:(b3,b5,b7)/E";"C#:min";"C#:min/E"
20.34;21.64;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
21.64;24.34;"B:min";"B:(b3,5)";"B:min";"B:min"
24.34;25;"B:min";"B:(b3,5)";"B:min";"B:min"
25;25.74;"F#:maj/A#";"F#:(3,5)/A#";"F#:maj";"F#:maj/A#"
25.74;26.96;"B:min";"B:(b3,5)";"B:min";"B:min"
26.96;27.64;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
27.64;28.3;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
28.3;29.68;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
29.68;35.74;"C#:hdim7/E";"C#:(b3,b5,b7)/E";"C#:min";"C#:min/E"
35.74;36.28;"A:(3,5,b7,b9)/G";"A:(3,5,b7,b9)/G";"A:maj";"A:maj/G"
36.28;36.94;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
36.94;37.42;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
37.42;37.74;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
37.74;38.44;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
38.44;39.06;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
39.06;39.76;"D:maj";"D:(3,5)";"D:maj";"D:maj"
39.76;40.68;"A:aug/C#";"A:(3,#5)/C#";"A:maj";"A:maj/C#"
40.68;41.28;"D:maj";"D:(3,5)";"D:maj";"D:maj"
41.28;41.92;"A:aug/C#";"A:(3,#5)/C#";"A:maj";"A:maj/C#"
41.92;42.48;"D:maj";"D:(3,5)";"D:maj";"D:maj"
42.48;43.16;"A:aug/C#";"A:(3,#5)/C#";"A:maj";"A:maj/C#"
43.16;43.84;"D:maj";"D:(3,5)";"D:maj";"D:maj"
43.84;44.48;"A:aug/C#";"A:(3,#5)/C#";"A:maj";"A:maj/C#"
44.48;45.1;"D:maj";"D:(3,5)";"D:maj";"D:maj"
45.1;45.7;"A:aug/C#";"A:(3,#5)/C#";"A:maj";"A:maj/C#"
45.7;46.32;"D:maj";"D:(3,5)";"D:maj";"D:maj"
46.32;46.98;"F#:(3,5,b7,b9)/E";"F#:(3,5,b7,b9)/E";"F#:maj";"F#:maj/E"
46.98;47.52;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
47.52;48.2;"F#:(3,5,b7,b9)/E";"F#:(3,5,b7,b9)/E";"F#:maj";"F#:maj/E"
48.2;49.96;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
49.96;50.6;"B:aug/D#";"B:(3,#5)/D#";"B:maj";"B:maj/D#"
50.6;51.2;"E:maj";"E:(3,5)";"E:maj";"E:maj"
51.2;51.84;"B:aug/D#";"B:(3,#5)/D#";"B:maj";"B:maj/D#"
51.84;52.4;"E:maj";"E:(3,5)";"E:maj";"E:maj"
52.4;52.98;"B:aug/D#";"B:(3,#5)/D#";"B:maj";"B:maj/D#"
52.98;53.6;"E:maj";"E:(3,5)";"E:maj";"E:maj"
53.6;54.26;"B:aug/D#";"B:(3,#5)/D#";"B:maj";"B:maj/D#"
54.26;54.8;"E:maj";"E:(3,5)";"E:maj";"E:maj"
54.8;55.38;"B:aug/D#";"B:(3,#5)/D#";"B:maj";"B:maj/D#"
55.38;56.1;"E:maj";"E:(3,5)";"E:maj";"E:maj"
56.1;56.64;"C:dim7/F#";"C:(b3,b5,bb7)/F#";"C:min";"C:min/F#"
56.64;57.28;"C#:maj/F";"C#:(3,5)/F";"C#:maj";"C#:maj/F"
57.28;58.04;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
58.04;59.36;"C#:maj";"C#:(3,5)";"C#:maj";"C#:maj"
59.36;59.86;"C#:min";"C#:(b3,5)";"C#:min";"C#:min"
59.86;60.5;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
60.5;61.24;"G:maj";"G:(3,5)";"G:maj";"G:maj"
61.24;61.96;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
61.96;62.58;"C#:hdim7/E";"C#:(b3,b5,b7)/E";"C#:min";"C#:min/E"
62.58;63.7;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
63.7;64.4;"B:min";"B:(b3,5)";"B:min";"B:min"
64.4;65.1;"F#:maj/A#";"F#:(3,5)/A#";"F#:maj";"F#:maj/A#"
65.1;66.4;"B:min";"B:(b3,5)";"B:min";"B:min"
66.4;67.12;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
67.12;67.64;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
67.64;69;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
69;70.22;"C#:hdim7/E";"C#:(b3,b5,b7)/E";"C#:min";"C#:min/E"
70.22;71.58;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
71.58;73.4;"B:min";"B:(b3,5)";"B:min";"B:min"
73.4;74.28;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
74.28;74.8;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
74.8;75.42;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
75.42;76.04;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
76.04;76.74;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
76.74;77.3;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
77.3;77.92;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
77.92;78.54;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
78.54;79.34;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
79.34;80.48;"E:min";"E:(b3,5)";"E:min";"E:min"
80.48;81.18;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
81.18;81.92;"C#:hdim7/G";"C#:(b3,b5,b7)/G";"C#:min";"C#:min/G"
81.92;83.24;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
83.24;84.74;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
84.74;87.58;"B:7/A";"B:(3,5,b7)/A";"B:maj";"B:maj/A"
87.58;88.08;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
88.08;88.58;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
88.58;89.12;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
89.12;89.7;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
89.7;90.76;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
90.76;91.42;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
91.42;92.02;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
92.02;92.52;"B:maj/F#";"B:(3,5)/F#";"B:maj";"B:maj/F#"
92.52;93.32;"E:min/G";"E:(b3,5)/G";"E:min";"E:min/G"
93.32;94.2;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
94.2;95.66;"F:dim7";"F:(b3,b5,bb7)";"F:min";"F:min"
95.66;97.1;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
97.1;99.02;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
99.02;99.7;"B:min";"B:(b3,5)";"B:min";"B:min"
99.7;100.42;"F#:7/C#";"F#:(3,5,b7)/C#";"F#:maj";"F#:maj/C#"
100.42;101.02;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
101.02;101.6;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
101.6;102.26;"E:min";"E:(b3,5)";"E:min";"E:min"
102.26;102.9;"C#:hdim7";"C#:(b3,b5,b7)";"C#:min";"C#:min"
102.9;104.4;"B:min";"B:(b3,5)";"B:min";"B:min"
104.4;105.02;"C:maj";"C:(3,5)";"C:maj";"C:maj"
105.02;105.66;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
105.66;106.9;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
106.9;107.64;"G:maj";"G:(3,5)";"G:maj";"G:maj"
107.64;108.26;"E:min";"E:(b3,5)";"E:min";"E:min"
108.26;108.96;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
108.96;109.78;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
